disease,symptoms
rotator cuff injury,"shoulder stiffness or tightness,shoulder pain,arm stiffness or tightness"
pyelonephritis,"nausea,low back pain,lower abdominal pain,blood in urine,sharp abdominal pain"
chronic pain disorder,"leg pain,back pain,ache all over,knee pain,hip pain,shoulder pain,pelvic pain,sharp abdominal pain"
acute pancreatitis,"lower body pain,nausea,back pain,burning abdominal pain,hemoptysis,vomiting,sharp chest pain"
metabolic disorder,"arm stiffness or tightness,jaundice"
fibromyalgia,"back pain,low back pain,sharp chest pain,headache"
asthma,"cough,coryza,chest tightness,allergic reaction,shortness of breath,coughing up sputum"
vaginitis,"lower abdominal pain,vaginal pain,vaginal itching,pain during intercourse,sharp abdominal pain"
cirrhosis,"shortness of breath,vomiting blood,blood in stool"
glaucoma,"itchiness of eye,symptoms of eye,lacrimation,diminished vision,spots or clouds in vision,pain in eye"
cirrhosis,"upper abdominal pain,sharp abdominal pain,blood in stool,vomiting blood"
acute pancreatitis,"back pain,vomiting,lower body pain,abusing alcohol,diarrhea,upper abdominal pain"
eating disorder,"difficulty eating,depressive or psychotic symptoms,insomnia,anxiety and nervousness,acne or pimples,abusing alcohol,depression"
chronic pain disorder,"knee pain,ache all over,headache,hip pain,low back pain,back pain,leg pain,sharp abdominal pain,shoulder pain"
atrophic vaginitis,"painful urination,suprapubic pain,blood in urine,vaginal itching,frequent urination"
asthma,"difficulty breathing,wheezing,coughing up sputum,allergic reaction,nasal congestion,fever,chest tightness"
ischemia of the bowel,"retention of urine,nausea,sharp abdominal pain,burning abdominal pain,vomiting,constipation,blood in stool"
acute pancreatitis,"lower body pain,upper abdominal pain,sharp abdominal pain,back pain,nausea,sharp chest pain"
panic disorder,"chest tightness,shortness of breath,palpitations"
cirrhosis,"abdominal distention,sharp abdominal pain"
choledocholithiasis,"chills,jaundice,upper abdominal pain,nausea,sharp abdominal pain"
pyelonephritis,"vomiting,sharp abdominal pain,side pain,frequent urination,nausea"
fibromyalgia,"hip pain,neck pain,low back pain,leg pain,back pain,arm pain,headache"
transient ischemic attack,"loss of sensation,disturbance of memory,depressive or psychotic symptoms,headache"
asthma,"cough,coryza,difficulty breathing,shortness of breath,coughing up sputum,nasal congestion,chest tightness,fever,allergic reaction"
acute pancreatitis,"abusing alcohol,nausea,sharp chest pain,upper abdominal pain,vomiting,diarrhea"
headache after lumbar puncture,"nausea,vomiting,painful urination"
fibromyalgia,"muscle pain,leg pain,neck pain,hip pain,arm pain"
chronic pain disorder,"pelvic pain,ache all over,leg pain,low back pain,shoulder pain"
problem during pregnancy,"sharp abdominal pain,headache"
atelectasis,"headache,shortness of breath,sore throat,dizziness"
injury to the hip,"neck pain,hand or finger swelling"
problem during pregnancy,"vomiting,pelvic pain,lower abdominal pain,back pain,spotting or bleeding during pregnancy,nausea"
problem during pregnancy,"sharp abdominal pain,lower abdominal pain,cramps and spasms,pain during pregnancy"
osteochondrosis,"bowlegged or knock-kneed,knee pain,ankle pain,elbow pain,foot or toe pain"
transient ischemic attack,"headache,paresthesia,dizziness,weakness,symptoms of the face,difficulty speaking,disturbance of memory,focal weakness"
problem during pregnancy,"pelvic pain,spotting or bleeding during pregnancy,problems during pregnancy,back pain,sharp abdominal pain,vomiting,headache,lower abdominal pain"
eye alignment disorder,"lack of growth,symptoms of eye,eye moves abnormally,pain in eye,cross-eyed,double vision"
pyelonephritis,"low back pain,lower abdominal pain,blood in urine,suprapubic pain,painful urination"
vaginitis,"suprapubic pain,vaginal redness,pain during intercourse,vaginal pain,sharp abdominal pain,lower abdominal pain,painful urination,pain during pregnancy,vaginal itching"
problem during pregnancy,"pelvic pain,spotting or bleeding during pregnancy,sharp abdominal pain,vomiting,headache,back pain,problems during pregnancy"
rotator cuff injury,"arm pain,shoulder pain,hand or finger stiffness or tightness"
fibromyalgia,"sharp chest pain,hip pain,neck pain,muscle pain,back pain"
fibromyalgia,"sharp chest pain,back pain,hip pain,muscle pain,low back pain,ache all over,arm pain"
thoracic aortic aneurysm,"fatigue,sharp chest pain,shortness of breath"
subdural hemorrhage,"facial pain,vomiting,irritable infant,headache,depressive or psychotic symptoms"
tinnitus of unknown cause,"itchy ear(s),dizziness,hoarse voice"
atrophic vaginitis,"painful urination,pain during intercourse,vaginal itching,suprapubic pain,vaginal discharge"
glaucoma,"pain in eye,lacrimation,itchy eyelid,spots or clouds in vision,diminished vision"
pyelonephritis,"suprapubic pain,back pain,nausea,sharp abdominal pain,vomiting,low back pain"
peritonitis,"vomiting,shortness of breath,back pain,groin mass,intermenstrual bleeding"
problem during pregnancy,"lower abdominal pain,pain during pregnancy,nausea,pelvic pain,headache,problems during pregnancy,cramps and spasms"
acute pancreatitis,"diarrhea,abusing alcohol,lower body pain,sharp chest pain,vomiting"
glaucoma,"itchy eyelid,spots or clouds in vision,eye redness,pain in eye,itchiness of eye,diminished vision"
panic disorder,"depressive or psychotic symptoms,breathing fast,anxiety and nervousness,chest tightness,abnormal involuntary movements"
thrombophlebitis,"foot or toe pain,ache all over,arm swelling,skin on leg or foot looks infected,arm pain"
subdural hemorrhage,"vomiting,facial pain,dizziness,depressive or psychotic symptoms"
eating disorder,"depression,depressive or psychotic symptoms,insomnia"
problem during pregnancy,"spotting or bleeding during pregnancy,back pain,pain during pregnancy,pelvic pain,cramps and spasms"
chronic pain disorder,"ache all over,shoulder pain,leg pain,pelvic pain,headache,hip pain"
vaginitis,"vaginal discharge,sharp abdominal pain,pain during intercourse,vaginal itching,suprapubic pain,lower abdominal pain,vaginal redness"
problem during pregnancy,"spotting or bleeding during pregnancy,pain during pregnancy,pelvic pain,sharp abdominal pain"
transient ischemic attack,"dizziness,loss of sensation"
choledocholithiasis,"upper abdominal pain,nausea,side pain,decreased appetite,sharp abdominal pain,vomiting,jaundice"
headache after lumbar puncture,"vomiting,nausea,painful urination,headache,dizziness"
panic disorder,"chest tightness,depression,palpitations,insomnia,dizziness,irregular heartbeat,breathing fast,abnormal involuntary movements"
acute pancreatitis,"upper abdominal pain,sharp chest pain,side pain,back pain,vomiting,abusing alcohol"
vaginitis,"lower abdominal pain,painful urination,suprapubic pain,vaginal itching,vaginal pain"
choledocholithiasis,"decreased appetite,side pain,jaundice,sharp abdominal pain"
headache after lumbar puncture,"vomiting,headache,nausea,neck pain"
pyelonephritis,"sharp abdominal pain,back pain,lower abdominal pain,side pain,low back pain"
pyelonephritis,"vomiting,back pain,nausea,lower abdominal pain,sharp abdominal pain,side pain,painful urination"
panic disorder,"chest tightness,insomnia,abnormal involuntary movements,shortness of breath,breathing fast,depression,irregular heartbeat"
acute pancreatitis,"abusing alcohol,sharp abdominal pain,vomiting,nausea,lower body pain,upper abdominal pain,hemoptysis"
problem during pregnancy,"nausea,cramps and spasms,problems during pregnancy,pelvic pain,spotting or bleeding during pregnancy,lower abdominal pain"
vaginitis,"vaginal redness,vaginal itching,suprapubic pain,sharp abdominal pain,pain during pregnancy,pelvic pain,painful urination"
acute pancreatitis,"vomiting,sharp abdominal pain,nausea,diarrhea,upper abdominal pain,side pain"
vaginitis,"pain during intercourse,vaginal discharge,vaginal pain,pain during pregnancy"
pyelonephritis,"blood in urine,low back pain,painful urination,sharp abdominal pain,lower abdominal pain,vomiting"
transient ischemic attack,"dizziness,depressive or psychotic symptoms,weakness,difficulty speaking"
diabetic retinopathy,"spots or clouds in vision,itchiness of eye,double vision,abnormal movement of eyelid,foreign body sensation in eye"
vaginitis,"pain during intercourse,vaginal discharge,suprapubic pain,lower abdominal pain,vaginal itching,vaginal pain"
injury to the hand,"joint pain,wrist swelling,wrist pain,hand or finger swelling"
headache after lumbar puncture,"dizziness,low back pain,painful urination"
panic disorder,"abnormal involuntary movements,depressive or psychotic symptoms,depression,dizziness"
chronic pain disorder,"hip pain,leg pain,pelvic pain,ache all over,knee pain,shoulder pain"
fibromyalgia,"arm pain,leg pain,low back pain,neck pain,ache all over"
peritonitis,"intermenstrual bleeding,back pain,nausea,side pain,groin mass,shortness of breath,sharp abdominal pain"
panic disorder,"depressive or psychotic symptoms,dizziness,chest tightness,palpitations,depression,insomnia,abnormal involuntary movements,shortness of breath,irregular heartbeat"
sick sinus syndrome,"palpitations,fainting,dizziness,increased heart rate,weakness"
panic disorder,"breathing fast,depressive or psychotic symptoms,irregular heartbeat,chest tightness,abnormal involuntary movements,dizziness,palpitations,depression,anxiety and nervousness"
subdural hemorrhage,"dizziness,headache,depressive or psychotic symptoms,irritable infant"
panic disorder,"insomnia,irregular heartbeat,abnormal involuntary movements,palpitations,anxiety and nervousness,breathing fast,depressive or psychotic symptoms,depression,shortness of breath"
asthma,"cough,difficulty breathing,wheezing,shortness of breath,sharp chest pain"
vaginitis,"vaginal pain,lower abdominal pain,vaginal redness,pain during pregnancy,suprapubic pain,painful urination"
vaginitis,"sharp abdominal pain,pain during intercourse,vaginal pain,vaginal redness,pelvic pain,lower abdominal pain,vaginal discharge,vaginal itching"
thrombophlebitis,"skin swelling,leg swelling,foot or toe pain,arm swelling,ache all over,arm pain"
thrombophlebitis,"skin swelling,leg pain,arm swelling"
cirrhosis,"shortness of breath,upper abdominal pain,regurgitation,sharp abdominal pain,vomiting blood,regurgitation.1,blood in stool"
peritonitis,"nausea,groin mass,side pain,back pain"
panic disorder,"anxiety and nervousness,palpitations,shortness of breath"
problem during pregnancy,"vomiting,headache,pain during pregnancy,nausea,cramps and spasms,pelvic pain"
vaginitis,"vaginal itching,vaginal discharge,vaginal redness,pelvic pain,pain during intercourse"
pyelonephritis,"nausea,suprapubic pain,painful urination,sharp abdominal pain,lower abdominal pain,blood in urine,frequent urination"
choledocholithiasis,"nausea,chills,vomiting,jaundice,sharp abdominal pain,side pain"
subdural hemorrhage,"dizziness,depressive or psychotic symptoms,facial pain,vomiting,headache"
atelectasis,"shortness of breath,sore throat,dizziness,headache,cough"
vaginitis,"painful urination,sharp abdominal pain,lower abdominal pain,pain during pregnancy,suprapubic pain,pain during intercourse,pelvic pain,vaginal discharge"
choledocholithiasis,"upper abdominal pain,vomiting,nausea,sharp chest pain,side pain,sharp abdominal pain"
salivary gland disorder,"throat feels tight,swollen lymph nodes,sore throat"
fibromyalgia,"hip pain,muscle pain,low back pain,back pain"
acute pancreatitis,"back pain,diarrhea,sharp abdominal pain,nausea,abusing alcohol,burning abdominal pain,upper abdominal pain,vomiting,hemoptysis,lower body pain"
acute pancreatitis,"sharp chest pain,back pain,burning abdominal pain"
vaginitis,"vaginal discharge,vaginal itching,vaginal redness,lower abdominal pain,suprapubic pain,pain during intercourse"
problem during pregnancy,"sharp abdominal pain,problems during pregnancy,nausea,spotting or bleeding during pregnancy,headache,back pain,vomiting,pain during pregnancy"
choledocholithiasis,"jaundice,upper abdominal pain,sharp chest pain,chills"
cellulitis or abscess of mouth,"difficulty in swallowing,skin growth,throat swelling,sore throat,abnormal appearing skin,toothache"
vaginitis,"pelvic pain,pain during pregnancy,vaginal pain,lower abdominal pain,vaginal redness,suprapubic pain,sharp abdominal pain,vaginal itching"
eating disorder,"depression,weight gain,anxiety and nervousness,insomnia,acne or pimples,decreased appetite"
cirrhosis,"vomiting blood,abdominal distention,shortness of breath,peripheral edema"
choledocholithiasis,"vomiting,upper abdominal pain,side pain,jaundice,nausea,decreased appetite"
vaginitis,"pain during intercourse,vaginal pain,pelvic pain"
problem during pregnancy,"lower abdominal pain,cramps and spasms,problems during pregnancy,sharp abdominal pain,back pain,nausea,pain during pregnancy"
panic disorder,"abnormal involuntary movements,irregular heartbeat,shortness of breath,dizziness,anxiety and nervousness,depressive or psychotic symptoms"
pyelonephritis,"suprapubic pain,frequent urination,side pain,sharp abdominal pain,low back pain"
tinnitus of unknown cause,"hoarse voice,headache,ringing in ear"
cirrhosis,"regurgitation,sharp abdominal pain,blood in stool,vomiting blood,upper abdominal pain,regurgitation.1"
pyelonephritis,"side pain,back pain,nausea,frequent urination,suprapubic pain"
eye alignment disorder,"double vision,irregular appearing scalp,symptoms of eye,lack of growth"
glaucoma,"itchiness of eye,spots or clouds in vision,foreign body sensation in eye,symptoms of eye,lacrimation"
transient ischemic attack,"headache,focal weakness,paresthesia"
vaginitis,"pain during intercourse,sharp abdominal pain,vaginal redness,vaginal pain,lower abdominal pain"
fibromyalgia,"ache all over,back pain,muscle pain,arm pain,hip pain,low back pain"
panic disorder,"insomnia,chest tightness,dizziness,breathing fast,abnormal involuntary movements,depression,irregular heartbeat,shortness of breath"
eating disorder,"decreased appetite,insomnia,weight gain,depression,difficulty eating,acne or pimples"
diabetic retinopathy,"diminished vision,pain in eye,abnormal movement of eyelid,double vision,itchiness of eye,lacrimation"
thrombophlebitis,"leg swelling,ache all over,arm swelling,skin swelling"
pyelonephritis,"sharp abdominal pain,side pain,nausea,blood in urine,suprapubic pain"
peritonitis,"shortness of breath,intermenstrual bleeding,groin mass,vomiting,side pain,nausea,sharp abdominal pain"
panic disorder,"abnormal involuntary movements,depressive or psychotic symptoms,chest tightness,anxiety and nervousness"
choledocholithiasis,"upper abdominal pain,vomiting,jaundice,side pain"
eye alignment disorder,"double vision,diminished vision,pain in eye,eye deviation,symptoms of eye,lack of growth,irregular appearing scalp"
transient ischemic attack,"disturbance of memory,headache,focal weakness,symptoms of the face,dizziness,loss of sensation,difficulty speaking"
chronic pain disorder,"low back pain,knee pain,leg pain,shoulder pain"
transient ischemic attack,"depressive or psychotic symptoms,loss of sensation,difficulty speaking,paresthesia,focal weakness,headache"
atrophic vaginitis,"blood in urine,pain during intercourse,vaginal discharge,painful urination,suprapubic pain"
acute pancreatitis,"burning abdominal pain,abusing alcohol,upper abdominal pain,lower body pain,hemoptysis,back pain"
thrombophlebitis,"leg pain,arm swelling,ache all over"
glaucoma,"eye redness,diminished vision,spots or clouds in vision,itchy eyelid,pain in eye"
ischemia of the bowel,"nausea,constipation,blood in stool,vomiting"
atrophic vaginitis,"pain during intercourse,blood in urine,involuntary urination,vaginal itching,frequent urination"
problem during pregnancy,"vomiting,pelvic pain,lower abdominal pain,back pain,problems during pregnancy"
chronic pain disorder,"leg pain,knee pain,shoulder pain,back pain,headache,hip pain"
pyelonephritis,"back pain,sharp abdominal pain,suprapubic pain,painful urination,lower abdominal pain,blood in urine"
pyelonephritis,"vomiting,blood in urine,nausea,lower abdominal pain,suprapubic pain"
fibromyalgia,"arm pain,muscle pain,sharp chest pain,neck pain,leg pain,hip pain,back pain"
fibromyalgia,"low back pain,leg pain,headache,arm pain,hip pain,neck pain,ache all over"
acute pancreatitis,"upper abdominal pain,sharp abdominal pain,lower body pain,back pain,hemoptysis,side pain,burning abdominal pain,diarrhea,vomiting"
eye alignment disorder,"eye moves abnormally,diminished vision,eye deviation,irregular appearing scalp"
asthma,"sharp chest pain,shortness of breath,coryza,wheezing,difficulty breathing"
